crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.106871	2821	0.000000
281474976710655.000000	7.405670	2822	0.000000
281474976710655.000000	7.141805	2823	0.000000
281474976710655.000000	7.466830	2824	0.000000
281474976710655.000000	7.056520	2825	0.000000
281474976710655.000000	7.375747	2826	0.000000
281474976710655.000000	7.096035	2827	0.000000
281474976710655.000000	7.301021	2828	0.000000
281474976710655.000000	7.075303	2829	0.000000
281474976710655.000000	7.403647	2830	0.000000
281474976710655.000000	6.974316	2831	0.000000
281474976710655.000000	7.301852	2832	0.000000
281474976710655.000000	6.932843	2833	0.000000
281474976710655.000000	7.306472	2834	0.000000
281474976710655.000000	6.968189	2835	0.000000
281474976710655.000000	7.177850	2836	0.000000
281474976710655.000000	6.920914	2837	0.000000
281474976710655.000000	7.315646	2838	0.000000
281474976710655.000000	6.998263	2839	0.000000
281474976710655.000000	7.211205	2840	0.000000
281474976710655.000000	6.860899	2841	0.000000
281474976710655.000000	7.175875	2842	0.000000
281474976710655.000000	6.922493	2843	0.000000
281474976710655.000000	7.212730	2844	0.000000
281474976710655.000000	6.856069	2845	0.000000
281474976710655.000000	7.065008	2846	0.000000
281474976710655.000000	6.825642	2847	0.000000
281474976710655.000000	7.093506	2848	0.000000
281474976710655.000000	6.796266	2849	0.000000
281474976710655.000000	7.035969	2850	0.000000
281474976710655.000000	6.871422	2851	0.000000
281474976710655.000000	7.089859	2852	0.000000
281474976710655.000000	6.837723	2853	0.000000
281474976710655.000000	7.068280	2854	0.000000
281474976710655.000000	6.793301	2855	0.000000
281474976710655.000000	7.046841	2856	0.000000
281474976710655.000000	6.815905	2857	0.000000
281474976710655.000000	7.039866	2858	0.000000
281474976710655.000000	6.726206	2859	0.000000
281474976710655.000000	7.029185	2860	0.000000
281474976710655.000000	6.740473	2861	0.000000
281474976710655.000000	7.120085	2862	0.000000
281474976710655.000000	6.782878	2863	0.000000
281474976710655.000000	6.955668	2864	0.000000
281474976710655.000000	6.736044	2865	0.000000
281474976710655.000000	6.996912	2866	0.000000
281474976710655.000000	6.657708	2867	0.000000
281474976710655.000000	6.964594	2868	0.000000
281474976710655.000000	6.653722	2869	0.000000
281474976710655.000000	7.003255	2870	0.000000
281474976710655.000000	6.608927	2871	0.000000
281474976710655.000000	6.932270	2872	0.000000
281474976710655.000000	6.661329	2873	0.000000
281474976710655.000000	6.877129	2874	0.000000
281474976710655.000000	6.528158	2875	0.000000
281474976710655.000000	6.933420	2876	0.000000
281474976710655.000000	6.628471	2877	0.000000
281474976710655.000000	6.821295	2878	0.000000
281474976710655.000000	6.497922	2879	0.000000
281474976710655.000000	6.762340	2880	0.000000
281474976710655.000000	6.485250	2881	0.000000
281474976710655.000000	6.774695	2882	0.000000
281474976710655.000000	6.574799	2883	0.000000
281474976710655.000000	6.841934	2884	0.000000
281474976710655.000000	6.544377	2885	0.000000
281474976710655.000000	6.787817	2886	0.000000
281474976710655.000000	6.502856	2887	0.000000
281474976710655.000000	6.688426	2888	0.000000
281474976710655.000000	6.444378	2889	0.000000
281474976710655.000000	6.755382	2890	0.000000
281474976710655.000000	6.480581	2891	0.000000
281474976710655.000000	6.758019	2892	0.000000
281474976710655.000000	6.500451	2893	0.000000
281474976710655.000000	6.711051	2894	0.000000
281474976710655.000000	6.480553	2895	0.000000
281474976710655.000000	6.596543	2896	0.000000
281474976710655.000000	6.454889	2897	0.000000
281474976710655.000000	6.650313	2898	0.000000
281474976710655.000000	6.413043	2899	0.000000
281474976710655.000000	6.619950	2900	0.000000
281474976710655.000000	6.340717	2901	0.000000
281474976710655.000000	6.614651	2902	0.000000
281474976710655.000000	6.399708	2903	0.000000
281474976710655.000000	6.648493	2904	0.000000
281474976710655.000000	6.304187	2905	0.000000
281474976710655.000000	6.561662	2906	0.000000
281474976710655.000000	6.312750	2907	0.000000
281474976710655.000000	6.522305	2908	0.000000
281474976710655.000000	6.273103	2909	0.000000
281474976710655.000000	6.489304	2910	0.000000
281474976710655.000000	6.315725	2911	0.000000
281474976710655.000000	6.555567	2912	0.000000
281474976710655.000000	6.234389	2913	0.000000
281474976710655.000000	6.504339	2914	0.000000
281474976710655.000000	6.230885	2915	0.000000
281474976710655.000000	6.471564	2916	0.000000
281474976710655.000000	6.206149	2917	0.000000
281474976710655.000000	6.494880	2918	0.000000
281474976710655.000000	6.188640	2919	0.000000
281474976710655.000000	6.440862	2920	0.000000
281474976710655.000000	6.144647	2921	0.000000
281474976710655.000000	6.505175	2922	0.000000
281474976710655.000000	6.140806	2923	0.000000
281474976710655.000000	6.448400	2924	0.000000
281474976710655.000000	6.171410	2925	0.000000
281474976710655.000000	6.435320	2926	0.000000
281474976710655.000000	6.103794	2927	0.000000
281474976710655.000000	6.423583	2928	0.000000
281474976710655.000000	6.099854	2929	0.000000
281474976710655.000000	6.354952	2930	0.000000
281474976710655.000000	6.107512	2931	0.000000
281474976710655.000000	6.361619	2932	0.000000
281474976710655.000000	6.095192	2933	0.000000
281474976710655.000000	6.376636	2934	0.000000
281474976710655.000000	6.086726	2935	0.000000
281474976710655.000000	6.397055	2936	0.000000
281474976710655.000000	6.081447	2937	0.000000
281474976710655.000000	6.307342	2938	0.000000
281474976710655.000000	6.046200	2939	0.000000
281474976710655.000000	6.283397	2940	0.000000
281474976710655.000000	6.037683	2941	0.000000
281474976710655.000000	6.318517	2942	0.000000
281474976710655.000000	5.969292	2943	0.000000
281474976710655.000000	6.233202	2944	0.000000
281474976710655.000000	6.017525	2945	0.000000
281474976710655.000000	6.183549	2946	0.000000
281474976710655.000000	5.954299	2947	0.000000
281474976710655.000000	6.228889	2948	0.000000
281474976710655.000000	5.941725	2949	0.000000
281474976710655.000000	6.172131	2950	0.000000
281474976710655.000000	5.930465	2951	0.000000
281474976710655.000000	6.186444	2952	0.000000
281474976710655.000000	5.871854	2953	0.000000
281474976710655.000000	6.196252	2954	0.000000
281474976710655.000000	5.935781	2955	0.000000
281474976710655.000000	6.176870	2956	0.000000
281474976710655.000000	5.901732	2957	0.000000
281474976710655.000000	6.182953	2958	0.000000
281474976710655.000000	5.865849	2959	0.000000
281474976710655.000000	6.165871	2960	0.000000
281474976710655.000000	5.903906	2961	0.000000
281474976710655.000000	6.085370	2962	0.000000
281474976710655.000000	5.825793	2963	0.000000
281474976710655.000000	6.099093	2964	0.000000
281474976710655.000000	5.819199	2965	0.000000
281474976710655.000000	6.007812	2966	0.000000
281474976710655.000000	5.822925	2967	0.000000
281474976710655.000000	6.073463	2968	0.000000
281474976710655.000000	5.840663	2969	0.000000
281474976710655.000000	5.989639	2970	0.000000
281474976710655.000000	5.755020	2971	0.000000
281474976710655.000000	5.982034	2972	0.000000
281474976710655.000000	5.759251	2973	0.000000
281474976710655.000000	5.974244	2974	0.000000
281474976710655.000000	5.738570	2975	0.000000
281474976710655.000000	5.944002	2976	0.000000
281474976710655.000000	5.755280	2977	0.000000
281474976710655.000000	5.978804	2978	0.000000
281474976710655.000000	5.709963	2979	0.000000
281474976710655.000000	5.958976	2980	0.000000
281474976710655.000000	5.738024	2981	0.000000
281474976710655.000000	5.944993	2982	0.000000
281474976710655.000000	5.700592	2983	0.000000
281474976710655.000000	5.914750	2984	0.000000
